Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2021 Volkswagen Polo 1.0 TSI Comfortline AT,Jaipur,"27,491 kms • Petrol • Automatic • 1st Owner",999 CC,108.62bhp,5,16.47 kmpl,₹ 8.65 Lakh
2022 Skoda Slavia 1.0 TSI Active,Jaipur,"13,978 kms • Petrol • Manual • 1st Owner",999 CC,113.98bhp,5,19.47 kmpl,₹ 11.50 Lakh
2018 Maruti Celerio ZXI AMT BSIV,Jaipur,"73,543 kms • Petrol • Automatic • 1st Owner",998 CC,67.04bhp,5,23.1 kmpl,₹ 4.86 Lakh
2015 BMW X5 xDrive 30d Expedition,Jaipur,"70,000 kms • Diesel • Automatic • 1st Owner",2993 CC,258bhp,5,15.97 kmpl,₹ 32 Lakh
2021 Maruti Alto 800 VXI,Jaipur,"9,033 kms • Petrol • Manual • 1st Owner",796 CC,47.33bhp,5,22.05 kmpl,₹ 4.01 Lakh
2017 Maruti Ciaz AT ZXi Plus,Jaipur,"38,228 kms • Petrol • Automatic • 1st Owner",1373 CC,91.1bhp,5,19.12 kmpl,₹ 8.01 Lakh
2016 BMW X1 sDrive20d Expedition,Jaipur,"50,192 kms • Diesel • Automatic • 1st Owner",1995 CC,188bhp,5,20.68 kmpl,₹ 24.90 Lakh
2016 Toyota Innova Crysta 2.7 ZX AT,Jaipur,"21,000 kms • Petrol • Automatic • 1st Owner",2694 CC,163.7bhp,7,10.75 kmpl,₹ 16 Lakh
2018 Maruti Swift ZXI,Jaipur,"47,029 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,21.21 kmpl,₹ 6.77 Lakh
2014 Honda City i DTEC V,Jaipur,"82,000 kms • Diesel • Manual • 1st Owner",1498 CC,98.6bhp,5,26 kmpl,₹ 5.70 Lakh
2022 Maruti Vitara Brezza VXI,Jaipur,"10,000 kms • Petrol • Manual • 1st Owner",1462 CC,103.26bhp,5,17.03 kmpl,₹ 9.45 Lakh
2020 Mercedes-Benz C-Class Progressive C 200,Jaipur,"20,000 kms • Petrol • Automatic • 1st Owner",1950 CC,201.15bhp,5,11.9 kmpl,₹ 45 Lakh
2012 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Jaipur,"1,18,000 kms • Diesel • Manual • 1st Owner",2494 CC,100.6bhp,8,12.99 kmpl,₹ 5.50 Lakh
2018 Hyundai Verna CRDi 1.6 SX,Jaipur,"71,000 kms • Diesel • Manual • 2nd Owner",1582 CC,126.2bhp,5,22 kmpl,₹ 9.90 Lakh
2017 Honda City i-VTEC CVT VX,Jaipur,"77,200 kms • Petrol • Automatic • 1st Owner",1497 CC,117.6bhp,5,18 kmpl,₹ 7.70 Lakh
2018 Toyota Innova Crysta 2.8 ZX AT BSIV,Jaipur,"85,000 kms • Diesel • Automatic • 1st Owner",2755 CC,171.5bhp,7,11.36 kmpl,₹ 19.90 Lakh
2017 Mahindra TUV 300 mHAWK100 T8,Jaipur,"1,20,000 kms • Diesel • Manual • 2nd Owner",1493 CC,100bhp,7,18.49 kmpl,₹ 5.90 Lakh
2009 Honda City 1.5 V AT,Jaipur,"61,000 kms • Petrol • Automatic • 2nd Owner",1497 CC,"118PS at 6,600 rpm",5,16.8 kmpl,₹ 3.25 Lakh
2019 Maruti Vitara Brezza VDi,Jaipur,"44,600 kms • Diesel • Manual • 1st Owner",1248 CC,88.5bhp,5,24.3 kmpl,₹ 8.90 Lakh
2015 Audi A4 2.0 TDI Premium Plus,Jaipur,"55,000 kms • Diesel • Automatic • 1st Owner",1968 CC,174.33bhp,5,17.11 kmpl,₹ 14.90 Lakh
2019 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Jaipur,"36,824 kms • Petrol • Manual • 2nd Owner",1197 CC,81.86bhp,5,18.9 kmpl,₹ 5.21 Lakh
