Name,Location,CarDetail,Engine CC,Power,Seats,Mileage Km/L,Price
2019 Maruti S-Presso VXI Plus 2019-2022,Chennai,"14,379 kms • Petrol • Manual • 1st Owner",998 CC,65.71bhp,5,21.7 kmpl,₹ 4.37 Lakh
2017 Maruti Alto 800 LXI,Chennai,"20,736 kms • Petrol • Manual • 1st Owner",796 CC,47.3bhp,5,24.7 kmpl,₹ 3.03 Lakh
2019 Maruti Alto 800 VXI BSIV,Chennai,"18,265 kms • Petrol • Manual • 1st Owner",796 CC,47.3bhp,5,24.7 kmpl,₹ 4.10 Lakh
2019 Maruti Alto K10 VXI,Chennai,"26,027 kms • Petrol • Manual • 1st Owner",998 CC,67.05bhp,5,23.95 kmpl,₹ 3.88 Lakh
2017 Maruti Alto 800 LXI,Chennai,"44,300 kms • Petrol • Manual • 1st Owner",796 CC,47.3bhp,5,24.7 kmpl,₹ 3.12 Lakh
2020 Maruti Swift VXI,Chennai,"39,074 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,21.21 kmpl,₹ 6.75 Lakh
2022 Tata Punch Camo Accomplished AMT,Chennai,"2,872 kms • Petrol • Automatic • 1st Owner",1199 CC,117.74bhp,5,18.8 kmpl,₹ 9.07 Lakh
2022 Hyundai Venue SX Opt Diesel,Chennai,"9,366 kms • Diesel • Manual • 1st Owner",1493 CC,113.45bhp,5,21.21 kmpl,₹ 12.50 Lakh
2018 Maruti Swift VXI,Chennai,"53,038 kms • Petrol • Manual • 2nd Owner",1197 CC,81.80bhp,5,19.89 kmpl,₹ 6.25 Lakh
2022 Maruti Brezza Zxi,Chennai,"15,000 kms • Petrol • Manual • 1st Owner",1462 CC,101.65bhp,5,24.7 kmpl,₹ 10.90 Lakh
2016 Maruti Alto 800 LXI,Chennai,"30,000 kms • Petrol • Manual • 1st Owner",796 CC,47.3bhp,5,16.8 kmpl,₹ 2.80 Lakh
2013 Honda City S,Chennai,"49,818 kms • Petrol • Manual • 2nd Owner",1497 CC,116.4bhp,5,20 kmpl,₹ 4.70 Lakh
2012 Ford Figo Diesel ZXI,Chennai,"1,09,225 kms • Diesel • Manual • 2nd Owner",1399 CC,68bhp,5,21.4 kmpl,₹ 2.10 Lakh
2017 Maruti Baleno 1.2 CVT Zeta,Chennai,"70,000 kms • Petrol • Automatic • 1st Owner",1197 CC,83.1bhp,5,19.49 kmpl,₹ 5.75 Lakh
2017 Nissan Micra Active XV Petrol,Chennai,"32,000 kms • Petrol • Manual • 1st Owner",1198 CC,67.04bhp,5,28.09 kmpl,₹ 4.15 Lakh
2017 Maruti Ciaz 1.3 Zeta,Chennai,"95,000 kms • Diesel • Manual • 1st Owner",1248 CC,88.5bhp,5,20.73 kmpl,₹ 7.25 Lakh
2017 Maruti Ciaz ZXi,Chennai,"68,000 kms • Petrol • Manual • 1st Owner",1373 CC,91.1bhp,5,19.5 kmpl,₹ 7.50 Lakh
2018 Honda Amaze V Petrol BSIV,Chennai,"24,141 kms • Petrol • Manual • 1st Owner",1199 CC,88.76bhp,5,17.1 kmpl,₹ 7.21 Lakh
2021 Toyota Yaris J,Chennai,"9,727 kms • Petrol • Manual • 1st Owner",1496 CC,105.94bhp,5,21.01 kmpl,₹ 10.31 Lakh
2021 Maruti Baleno Delta,Chennai,"10,458 kms • Petrol • Manual • 1st Owner",1197 CC,81.80bhp,5,18.5 kmpl,₹ 7.35 Lakh
2022 Tata Altroz XZA Plus DCT,Chennai,"5,894 kms • Petrol • Automatic • 1st Owner",1199 CC,86.83bhp,5,21.1 kmpl,₹ 10.05 Lakh
2018 Hyundai EON Sportz,Chennai,"46,976 kms • Petrol • Manual • 1st Owner",814 CC,55.2bhp,5,17.4 kmpl,₹ 3.52 Lakh
2015 Honda City i VTEC V,Chennai,"13,407 kms • Petrol • Manual • 1st Owner",1497 CC,117.3bhp,5,18.2 kmpl,₹ 10.31 Lakh
